Model,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy
baseline,0.9184637502567263,0.006415649541513615,0.9014171287738756,0.9297597042513863
expert_with_confidence,0.6681659478332307,0.010509025941438505,0.6451016635859519,0.6900800985828712
expert_no_confidence,0.6682070240295749,0.010062515389949539,0.6451016635859519,0.6906962415280345
advanced_pruning,0.9113986444855207,0.006587064706642379,0.8977202711028959,0.9235982747997535
