Repetition,baseline,expert_with_confidence,expert_no_confidence,advanced_pruning
1,0.9199014171287738,0.6586568083795441,0.6568083795440542,0.9131238447319778
2,0.9100431300061614,0.6635859519408502,0.6605052372150338,0.9001848428835489
3,0.9106592729513248,0.6605052372150338,0.6623536660505237,0.9063462723351817
4,0.9211337030191005,0.6802218114602587,0.680837954405422,0.9088108441158349
5,0.9186691312384473,0.6592729513247073,0.662969808995687,0.9118915588416513
6,0.9168207024029574,0.6734442390634627,0.6734442390634627,0.9081947011706716
7,0.9118915588416513,0.6611213801601972,0.6635859519408502,0.8977202711028959
8,0.9199014171287738,0.6605052372150338,0.6605052372150338,0.9081947011706716
9,0.9205175600739371,0.6765249537892791,0.6771410967344423,0.9088108441158349
10,0.9285274183610598,0.6678989525569933,0.6678989525569933,0.9186691312384473
11,0.9014171287738756,0.6611213801601972,0.6611213801601972,0.904497843499692
12,0.9174368453481208,0.6451016635859519,0.6451016635859519,0.904497843499692
13,0.9205175600739371,0.6759088108441158,0.6728280961182994,0.9131238447319778
14,0.929143561306223,0.6839186691312384,0.6839186691312384,0.9192852741836106
15,0.9235982747997535,0.6475662353666051,0.6487985212569316,0.9205175600739371
16,0.9211337030191005,0.662969808995687,0.6611213801601972,0.9217498459642637
17,0.9254467036352434,0.6678989525569933,0.6685150955021565,0.9125077017868145
18,0.9199014171287738,0.6506469500924215,0.6555760936537277,0.9100431300061614
19,0.9217498459642637,0.6648182378311769,0.6648182378311769,0.9174368453481208
20,0.911275415896488,0.6709796672828097,0.6709796672828097,0.9106592729513248
21,0.9143561306223044,0.6752926678989526,0.674060382008626,0.9149722735674677
22,0.9162045594577942,0.6746765249537893,0.6722119531731362,0.9137399876771412
23,0.9100431300061614,0.6839186691312384,0.6826863832409119,0.9106592729513248
24,0.9297597042513863,0.674060382008626,0.6734442390634627,0.9192852741836106
25,0.9137399876771412,0.6900800985828712,0.6906962415280345,0.911275415896488
26,0.9242144177449169,0.680837954405422,0.680837954405422,0.9180529882932841
27,0.9199014171287738,0.6703635243376463,0.6703635243376463,0.9088108441158349
28,0.9168207024029574,0.6709796672828097,0.6709796672828097,0.9075785582255084
29,0.9266789895255699,0.6678989525569933,0.6678989525569933,0.9235982747997535
30,0.9125077017868145,0.6642020948860136,0.6642020948860136,0.8977202711028959
