Species_name,GBIF_name,Order,Family,IUCN_status,Agriculture,Hunting,Invasive_species,Climate_change,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Primary_lifestyle,Island_restricted_breeding,Latitudinal_range,Elevational_range,Habitat_breadth,Diet_breadth,Realm,Minimum_elevation,Maximum_elevation,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Range_size,Body_mass,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Crypturellus obsoletus,Crypturellus obsoletus,STRUTHIONIFORMES,Tinamidae,LC,1,1,0,0,30.9,11.1,5.4,4.5,45.9,160,35.8,124.4,22.4,54.2,-33.84,11.35,Terrestrial,0,2,2600,2,2,L,200,2800,0.76671403,1.874309998,15.19449899,4.812828802,1841826.27,443.4,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus undulatus,Crypturellus undulatus,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,34,12.4,6,5.8,48,172.5,35,137.8,20.3,56.6,-27.8,8.4,Terrestrial,0,2,900,5,3,L,0,900,0.735025566,2.019948816,16.21830113,4.771455533,8533511.59,564.4,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus strigulosus,Crypturellus strigulosus,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,32.3,11.6,5.3,5.3,46.4,160.9,30.1,130.7,18.7,47.9,-15.65,-0.54,Terrestrial,0,1,500,1,3,L,0,500,0.781206236,1.93707895,14.97060929,5.051806531,2589981.45,430.6,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus erythropus,Crypturellus erythropus,STRUTHIONIFORMES,Tinamidae,LC,1,1,0,0,29,10.7,4.9,4.4,47,158.2,48.1,110.6,30.1,48.4,-1.46,11.65,Terrestrial,0,1,1700,4,3,L,0,1700,0.815757949,2.142693768,15.92709911,5.828200564,1242529.51,485,3,Omnivore,Shrub,Sedentary,Lower_risk
Crypturellus noctivagus,Crypturellus noctivagus,STRUTHIONIFORMES,Tinamidae,NT,1,1,0,0,32.9,12.5,6.1,5.3,53.9,182.2,43.9,138.3,24.1,61.8,-30.22,-7.13,Terrestrial,0,2,300,4,3,L,0,300,0.758551243,1.932858872,17.3741855,4.925242284,1469564.58,562,4,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus cinnamomeus,Crypturellus cinnamomeus,STRUTHIONIFORMES,Tinamidae,LC,0,1,0,0,26.6,10.7,5.3,4.9,45.2,156.7,35.6,122.3,22.5,49.2,9.55,24.88,Terrestrial,0,1,1800,3,3,L,0,1800,0.809868545,2.084764271,16.30921496,5.681953406,661411.76,422,7,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus transfasciatus,Crypturellus transfasciatus,STRUTHIONIFORMES,Tinamidae,NT,1,1,0,0,26.7,10.8,5.1,4.8,46.4,150.2,36.5,115.2,24,45.6,-5.74,-0.18,Terrestrial,0,1,800,2,3,L,0,800,0.760595837,1.783384219,13.50365432,4.578910599,41881.22,283,7,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus boucardi,Crypturellus boucardi,STRUTHIONIFORMES,Tinamidae,VU,1,1,0,0,28.9,10.9,5.2,4.8,50,165,41.4,123.6,25.1,49.2,9.86,18.87,Terrestrial,0,1,1500,2,3,L,0,1500,0.765831995,1.86778589,14.98941975,4.795858713,334426.96,435.6,10,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus kerriae,Crypturellus kerriae,STRUTHIONIFORMES,Tinamidae,NT,1,1,0,0,31.2,10.6,5.1,4.8,49.6,154.1,33.6,120.5,21.8,54.2,5.95,7.84,Terrestrial,0,1,1400,1,3,L,100,1500,0.813664453,1.92380231,15.15369062,5.463903199,6147.23,443.4,4.87096774193549,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus variegatus,Crypturellus variegatus,STRUTHIONIFORMES,Tinamidae,LC,0,0,0,0,33.6,13.7,5.3,5,41.1,155.4,50.1,105.5,32.2,44.6,-20.8,8.4,Terrestrial,0,1,1200,2,3,L,100,1300,0.824320611,2.447681257,17.69804868,6.478159022,5436849.92,378,1,Omnivore,Forest,Sedentary,Lower_risk
