Species_name,GBIF_name,Order,Family,IUCN_status,Agriculture,Hunting,Invasive_species,Climate_change,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Primary_lifestyle,Island_restricted_breeding,Latitudinal_range,Elevational_range,Habitat_breadth,Diet_breadth,Realm,Minimum_elevation,Maximum_elevation,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Range_size,Body_mass,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Heterotetrax humilis,Heterotetrax humilis,OTIDIFORMES,Otididae,NT,1,1,0,1,31.8,17.6,7.8,7,61.7,232.4,97,143.5,40.4,108,4.3,11.58,Terrestrial,0,1,1000,2,2,F,0,1000,0.854607018,2.487346421,18.2245551,7.101637161,447301.03,698,3,Omnivore,Grassland,Sedentary,Higher_risk
Afrotis afra,Afrotis afra,OTIDIFORMES,Otididae,VU,1,0,0,1,35.6,18.9,8.7,8.4,88.5,290.8,107.7,178.3,37.7,126.6,-34.84,-29.96,Terrestrial,0,3,500,3,4,F,0,500,0.865181926,2.579672939,20.51436978,7.701564361,173167.3,690,2,Omnivore,Shrub,Sedentary,Higher_risk
Afrotis afraoides,Afrotis afraoides,OTIDIFORMES,Otididae,LC,0,0,0,0,34.9,18,9,8.2,88,282.8,104.8,177.5,37.1,127.4,-33.54,-17.46,Terrestrial,0,2,1000,5,2,F,0,1000,0.863347731,2.669547906,18.49025312,7.302489818,1934353.37,745,2,Invertebrate,Grassland,Sedentary,Lower_risk
Eupodotis senegalensis,Eupodotis senegalensis,OTIDIFORMES,Otididae,LC,0,0,0,0,34.1,20.2,9.5,8.7,83.8,270.6,109.6,160.8,40.6,116.5,-34.21,17.54,Terrestrial,0,2,1050,5,5,F,950,2000,0.848394969,2.402305652,17.24491912,6.756283732,4886826.68,585,3,Omnivore,Grassland,Sedentary,Lower_risk
Eupodotis caerulescens,Eupodotis caerulescens,OTIDIFORMES,Otididae,NT,1,0,0,1,32.1,16.8,8.9,10,88.2,322.8,117,205.8,36.2,146,-32.62,-24.56,Terrestrial,0,3,1500,2,4,F,1500,3000,0.876316087,2.839054301,22.46920301,8.388220069,264843.99,1366,3,Omnivore,Grassland,Sedentary,Higher_risk
Corythaeola cristata,Corythaeola cristata,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,38.8,18.8,9.3,18.4,54.2,321.4,36.5,286.9,11.2,366.8,-11.06,11.59,Insessorial,0,1,2700,2,3,F,0,2700,0.835428125,2.724576029,20.00795906,7.064661344,3896093.97,965,2,Fruit,Forest,Sedentary,Lower_risk
Criniferoides leucogaster,Criniferoides leucogaster,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,27,12.1,8.7,11.3,42.3,220.3,35.5,185.4,16,264.2,-8.83,14.91,Insessorial,0,1,1700,1,3,F,0,1700,0.759876626,1.798503646,14.85436426,4.656885475,2293621.91,216.2,3,Omnivore,Savanna,Sedentary,Lower_risk
Crinifer zonurus,Crinifer zonurus,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,30.4,17.7,10.8,14.7,44.3,247.6,46.6,200.9,18.8,250.4,-4.26,16.37,Insessorial,0,1,1500,3,2,F,0,1500,0.796616505,2.326671411,17.66785475,5.879673964,1014236.61,527,3,Fruit,Woodland,Sedentary,Lower_risk
Crinifer piscator,Crinifer piscator,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,29.6,18.4,12.2,15.8,41.9,224,44.3,180.2,19.7,227,-5.49,16.9,Insessorial,0,1,1300,5,1,F,0,1300,0.780207856,2.170089812,16.70734801,5.412409803,3640485.51,370,3,Fruit,Woodland,Sedentary,Lower_risk
Corythaixoides personatus,Corythaixoides personatus,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.8,12.2,7.5,12.4,40.8,206.2,37.7,168.5,18.3,243.5,3.7,10.12,Insessorial,0,1,490,4,3,F,1360,1850,0.760934236,2.008815947,9.585088588,4.349987134,52976.1,250,3,Fruit,Woodland,Sedentary,Lower_risk
Corythaixoides concolor,Corythaixoides concolor,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.7,12.7,8,13.3,39.5,215.4,39.8,177.2,18.3,241,-29.07,-6.29,Insessorial,0,2,1500,4,4,F,0,1500,0.745650616,1.944549416,9.783203784,4.185647671,3808237.76,258,3,Fruit,Woodland,Sedentary,Lower_risk
Gallirex porphyreolophus,Gallirex porphyreolophus,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.2,10.8,6.4,10.9,38.7,180.8,20.3,161.3,11.2,181.1,-30.6,-0.14,Insessorial,0,2,1850,6,1,F,0,1850,0.762719569,2.022859216,15.85753437,4.9748004,2166499.58,259,3,Fruit,Woodland,Sedentary,Lower_risk
Gallirex johnstoni,Gallirex johnstoni,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,28,10.9,6.6,10.7,38.5,167,17.9,148.2,10.8,199.8,-4.01,0.69,Insessorial,0,1,1930,2,3,F,1770,3700,0.790592008,2.153175756,15.73174944,5.473171295,16706.27,240,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco schalowi,Tauraco schalowi,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,26.1,11.8,6.8,10.7,39.8,181,20,161.2,11,190.1,-19.18,-0.19,Insessorial,0,1,1900,3,1,F,600,2500,0.767723391,2.010746524,12.96323984,4.790862802,1899419.96,206.4,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco hartlaubi,Tauraco hartlaubi,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,24.6,11.3,8.3,11.4,38.3,169.4,12.9,156.2,7.7,181,-5.15,4.06,Insessorial,0,1,1700,2,1,F,1500,3200,0.771760705,2.043439044,12.63184639,4.86400386,264805.15,224,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco schuettii,Tauraco schuettii,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,22.1,10.6,6.4,10.5,39,166.4,13.5,152.8,8.2,184.2,-8.86,5.96,Insessorial,0,1,2300,1,1,F,500,2800,0.774101484,2.062826528,12.77676311,4.907028674,2085207.97,235,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco livingstonii,Tauraco livingstonii,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.5,11.9,7.1,11.3,38.8,183,16,167.2,8.8,202.5,-29.69,-2.9,Insessorial,0,2,2500,2,1,F,0,2500,0.776904305,2.086474207,13.58848631,5.061456653,974104.7,249,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco fischeri,Tauraco fischeri,MUSOPHAGIFORMES,Musophagidae,NT,1,1,0,0,25.9,11.5,6.8,11,38.8,169.2,14.8,155.2,8.7,183.9,-6.48,1.89,Insessorial,0,1,1250,2,3,F,0,1250,0.777097514,2.088122099,12.9798792,4.962775556,48655.56,250,2,Fruit,Forest,Sedentary,Higher_risk
Tauraco corythaix,Tauraco corythaix,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,1,25.8,11.9,7,12.4,41.2,181.6,15.6,166.7,8.5,203.8,-34.21,-22.65,Insessorial,0,3,1800,4,4,F,0,1800,0.77133303,2.093092057,14.62775602,5.086836779,124836.47,308,3,Fruit,Forest,Sedentary,Lower_risk
Tauraco persa,Tauraco persa,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.8,12.3,6.9,11.9,38.8,177.8,19,158.7,10.7,177.9,-6.22,14.05,Insessorial,0,1,1100,3,2,F,0,1100,0.786686063,2.172935165,13.65498382,5.259694434,3260169.31,306,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco leucotis,Tauraco leucotis,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.3,11.8,7.5,11.8,38.1,175.8,14,164,7.9,188.1,3.63,17.57,Insessorial,0,1,1000,2,1,F,2200,3200,0.779892909,2.112226812,13.46216367,5.015490362,807016.24,265,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco ruspolii,Tauraco ruspolii,MUSOPHAGIFORMES,Musophagidae,NT,1,1,1,0,24.1,11.1,7.8,11,39.7,182,17.4,164.6,9.5,185.2,4.61,5.84,Insessorial,0,1,610,3,1,F,1250,1860,0.776731748,1.966212461,12.90683337,4.837136508,11916.28,263,2,Fruit,Forest,Sedentary,Higher_risk
Tauraco bannermani,Tauraco bannermani,MUSOPHAGIFORMES,Musophagidae,NT,1,1,0,0,25.9,13.1,9.2,13,38.3,160.8,13.8,147.5,8.6,170,5.13,6.54,Insessorial,0,1,1250,1,1,F,1700,2950,0.771760705,2.043439044,12.89309693,4.86400386,1978.6,224,2,Fruit,Forest,Sedentary,Higher_risk
Tauraco erythrolophus,Tauraco erythrolophus,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,26,14.9,8.3,13.3,38.8,170,17.6,152.9,10.3,196.3,-14.79,-6.21,Insessorial,0,1,2000,3,1,F,0,2000,0.772056103,1.963669116,13.02447536,4.787209389,189792.61,261.2,2,Fruit,Forest,Sedentary,Lower_risk
Tauraco leucolophus,Tauraco leucolophus,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.5,14.4,9.3,14.3,35.8,173,20.3,152.4,11.8,174.8,-1.18,10.43,Insessorial,0,1,2100,2,3,F,100,2200,0.770652552,2.034372837,12.83514443,4.843794896,1433202.57,219,2,Fruit,Riparian,Sedentary,Lower_risk
Tauraco macrorhynchus,Tauraco macrorhynchus,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,25.8,12.4,7.1,12.2,38.2,170.2,14.8,153.4,8.8,182.6,-5.92,9.3,Insessorial,0,1,1600,2,4,F,0,1600,0.775869098,2.077684155,12.96911888,4.93982546,1273570.69,243.7,2,Fruit,Forest,Sedentary,Lower_risk
Musophaga rossae,Musophaga rossae,MUSOPHAGIFORMES,Musophagidae,LC,0,0,0,0,35,12.2,7.4,12.9,44.9,224.7,33.4,191.3,14.8,232.7,-16.27,10.27,Insessorial,0,1,1800,4,2,F,0,1800,0.808825569,2.334006667,17.28771248,6.00941615,3088906.06,361.4,2,Fruit,Forest,Sedentary,Lower_risk
Musophaga violacea,Musophaga violacea,MUSOPHAGIFORMES,Musophagidae,NT,1,1,0,0,34.5,14.1,10.2,15.2,42.2,210.2,36,174.2,17.1,194.8,4.74,14.61,Insessorial,0,1,1000,4,2,F,0,1000,0.80865616,2.332197499,17.53517486,6.085958972,2077717.14,360,2,Fruit,Riparian,Sedentary,Higher_risk
Gavia stellata,Gavia stellata,GAVIIFORMES,Gaviidae,LC,0,1,0,1,63.1,37.4,7.5,12.2,66.1,275.4,130.7,143.8,47.6,45.6,43.46,83.11,Aquatic,0,4,1070,3,2,C,0,1070,0.868993268,2.5,23.58333333,8.185562761,16657775.71,1486,2,AquaticAnimals,Wetland,Migratory,Lower_risk
Gavia arctica,Gavia arctica,GAVIIFORMES,Gaviidae,LC,1,1,1,1,71,41.3,8.5,14.2,72.8,285.8,145.3,140.4,50.8,45,41.19,81.17,Aquatic,0,4,500,2,2,P,0,500,0.891,2.628436852,28,9.441438261,18911193.89,2251.1,3,AquaticAnimals,Wetland,Migratory,Lower_risk
Gavia pacifica,Gavia pacifica,GAVIIFORMES,Gaviidae,LC,0,0,0,0,71.9,41.1,8.3,12.9,72.8,291.2,139,151.5,47.9,48.4,51.22,74.56,Aquatic,0,4,500,2,2,N,0,500,0.881596447,2.628436852,28,9.053883332,5397186.87,2251.1,3,AquaticAnimals,Wetland,Migratory,Lower_risk
Gavia immer,Gavia immer,GAVIIFORMES,Gaviidae,LC,0,1,0,0,97,60.1,10.5,23,86.1,365.2,178,183.2,49.3,59,41.9,80.83,Aquatic,0,4,500,2,3,NP,0,500,0.915,3.070595253,29.83333333,11.29641116,9453280.12,4956.8,3,AquaticAnimals,Wetland,Migratory,Lower_risk
Gavia adamsii,Gavia adamsii,GAVIIFORMES,Gaviidae,NT,0,1,0,1,104.8,70.9,10.4,24.1,84.6,371.4,190.2,182.8,51,60.8,61.08,77.73,Aquatic,0,4,500,3,1,NP,0,500,0.902607419,3.499452355,30.10284266,11.08256021,4030133.52,4944.3,2,AquaticAnimals,Wetland,Migratory,Higher_risk
Aptenodytes patagonicus,Aptenodytes patagonicus,SPHENISCIFORMES,Spheniscidae,LC,0,0,1,1,105.6,65.7,11,17.8,52.2,167.2,6.2,161.1,3.7,63.8,-54.89,-45.97,Aquatic,0,3,100,2,2,S,0,100,0.93,5,27.49829419,12.94622323,24905.39,11731.1,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Aptenodytes forsteri,Aptenodytes forsteri,SPHENISCIFORMES,Spheniscidae,NT,0,0,0,1,94.2,53.5,13.9,17.7,47.2,179.4,6.7,175.1,3.7,117.5,-78.26,-65.12,Aquatic,0,4,500,2,2,S,0,500,0.944549852,5.743555219,36.30933775,16.40149027,83236.83,33569.3,1,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Pygoscelis papua,Pygoscelis papua,SPHENISCIFORMES,Spheniscidae,LC,0,1,1,0,64.8,37.8,12.4,17,33,126.1,6.2,119.8,5,122.8,-64.78,-45.97,Aquatic,0,3,0,2,2,S,0,0,0.859201768,3.867200793,38,11.92169276,31443.71,5933,2,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pygoscelis adeliae,Pygoscelis adeliae,SPHENISCIFORMES,Spheniscidae,LC,0,1,0,1,59.7,24.2,12.9,17.2,32.5,94.5,7.2,89.5,7.4,139,-78.19,-54.4,Aquatic,0,4,0,2,2,S,0,0,0.860565865,5.5,28.66436437,12.83202211,148210.8,4847.7,2,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pygoscelis antarcticus,Pygoscelis antarcticus,SPHENISCIFORMES,Spheniscidae,LC,0,1,0,1,61.8,34,14.8,19.2,27,100.5,4.8,95.7,4.8,138,-68.89,-53.97,Aquatic,0,4,0,2,2,S,0,0,0.855264642,4,26.8845312,9.400180385,12591.58,4146.1,2,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Eudyptes schlegeli,Eudyptes schlegeli,SPHENISCIFORMES,Spheniscidae,LC,0,1,1,1,70.7,43.9,16.4,26.9,29.7,121,6.3,114.7,5.2,95.2,-54.78,-54.49,Aquatic,1,3,150,2,2,Z,0,150,0.911306764,7,21,12.32016634,127.71,4242.6,2,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Eudyptes chrysolophus,Eudyptes chrysolophus,SPHENISCIFORMES,Spheniscidae,VU,0,1,1,1,60.8,34.1,16.2,23.9,35.1,116.5,6.7,109.8,5.8,103.2,-64.84,-45.97,Aquatic,0,3,200,2,2,S,0,200,0.902100623,6,21.1007667,11.40414353,48864.72,4485.1,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Eudyptes moseleyi,Eudyptes moseleyi,SPHENISCIFORMES,Spheniscidae,EN,0,1,1,1,53.4,30.4,14,20.4,34.8,102.2,5.7,96.6,5.5,62.4,-40.37,-37.06,Aquatic,1,2,170,2,2,O,0,170,0.886542877,4.61905212,14.12950496,8.148985059,248.71,2327.9,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Eudyptes chrysocome,Eudyptes chrysocome,SPHENISCIFORMES,Spheniscidae,VU,0,1,1,1,49.9,26.8,13.4,21.3,25.7,97.9,6.3,91.6,6.5,87.4,-55.98,-45.97,Aquatic,0,4,60,3,2,S,0,60,0.9225,4.600573766,24,11.52822865,35718.74,2327.9,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Eudyptes sclateri,Eudyptes sclateri,SPHENISCIFORMES,Spheniscidae,EN,0,1,0,1,66.2,37.8,17.6,27.2,29.4,111.3,6.6,104.8,5.9,94,-49.72,-47.69,Aquatic,1,3,75,4,2,Z,0,75,0.908590763,5.523442815,18.10312843,10.21509391,23.43,5889,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Eudyptes pachyrhynchus,Eudyptes pachyrhynchus,SPHENISCIFORMES,Spheniscidae,NT,0,1,1,1,49.4,34.6,16.4,23.7,31.1,155.3,3,88.3,3.3,90.8,-47.28,-43.74,Aquatic,1,3,30,4,2,Z,0,30,0.901962411,4.99749316,18.01378703,9.876622664,26.15,3904.9,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Eudyptes robustus,Eudyptes robustus,SPHENISCIFORMES,Spheniscidae,VU,0,1,1,1,56.1,36.1,16,25.7,28,97.8,6,91.7,6.2,84.5,-48.04,-48,Aquatic,1,3,70,3,2,Z,0,70,0.892103459,5,15.83245637,9.180467695,2.9,3038,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Megadyptes antipodes,Megadyptes antipodes,SPHENISCIFORMES,Spheniscidae,EN,1,1,1,1,64.7,33.5,10.8,20,33.1,128.2,9,119.2,7.1,58.7,-52.83,-41.23,Aquatic,1,3,75,2,2,Z,0,75,0.896542432,2.950470165,26.63523171,9.872478642,80802.25,5326.2,2,AquaticAnimals,Sea,Sedentary,Higher_risk
Eudyptula minor,Eudyptula minor,SPHENISCIFORMES,Spheniscidae,LC,1,1,1,1,47.5,23.6,6.9,13.7,22.1,67.2,3.8,63.5,5.6,27,-47.47,-30.49,Aquatic,0,3,50,3,2,AZ,0,50,0.855245301,2.691527806,24.4,7.87102974,365250.03,1107.8,2,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Spheniscus demersus,Spheniscus demersus,SPHENISCIFORMES,Spheniscidae,CR,0,1,1,1,61.5,31,10.1,24.3,32.3,98.5,3.6,94.9,3.7,28.5,-35.98,-17.07,Aquatic,0,2,50,2,2,F,0,50,0.864551745,4.021190773,27.3,9.651411739,330067.23,3130.1,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Spheniscus magellanicus,Spheniscus magellanicus,SPHENISCIFORMES,Spheniscidae,LC,1,1,1,1,60.2,27.7,10.2,23.4,35.5,109.6,4.1,105.1,3.8,23.4,-56.72,-33.67,Aquatic,0,3,85,4,2,L,0,85,0.858719002,5,30,12.91304048,940638.86,4105.1,2,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Spheniscus humboldti,Spheniscus humboldti,SPHENISCIFORMES,Spheniscidae,VU,0,1,1,1,63.7,27.3,9.1,21.1,39,105.2,4.6,100.7,4.4,28.1,-55.93,-4.87,Aquatic,0,2,80,3,2,L,0,80,0.860788955,4.293684996,26.28530235,9.721247253,73314.02,4366.4,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Spheniscus mendiculus,Spheniscus mendiculus,SPHENISCIFORMES,Spheniscidae,EN,0,1,1,1,63.9,30.4,8,17.5,25.9,82.8,4,78.8,4.8,26.1,-1.31,0.17,Aquatic,1,1,40,2,1,L,0,40,0.85,4.5,20.55913739,9.583064166,1040.81,1921.9,2,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Oceanites oceanicus,Oceanites oceanicus,PROCELLARIIFORMES,Oceanitidae,LC,0,0,1,0,16.3,7.1,2.9,3.8,34.9,147.2,86.6,61.2,58.6,66,-73.66,-48.45,Aerial,0,3,600,2,2,CZ,0,600,0.91,4.5,21,10.57594531,28528.95,30.4,1,AquaticAnimals,Sea,Migratory,Lower_risk
Garrodia nereis,Garrodia nereis,PROCELLARIIFORMES,Oceanitidae,LC,0,0,1,0,16.4,7.5,2.9,4,31.6,125.2,69.4,55.1,55.7,65.6,-63.76,-29.07,Aerial,1,3,0,3,2,CZ,0,0,0.775688796,1.694998129,13,4.555306065,28460926.48,38.2,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Pelagodroma marina,Pelagodroma marina,PROCELLARIIFORMES,Oceanitidae,LC,0,1,1,0,21.1,10.2,3.5,4,40.6,158.2,86.2,73.1,54.1,73.4,-55.33,47.04,Aerial,1,2,0,3,2,CZ,0,0,0.785763371,1.767124538,19.83561644,5.268627792,104837176.2,47.2,1,AquaticAnimals,Sea,Migratory,Lower_risk
Fregetta grallaria,Fregetta grallaria,PROCELLARIIFORMES,Oceanitidae,LC,0,0,0,0,19.3,8.7,3.3,4.7,36.9,168.6,98.4,70.6,58.2,76.8,-53.97,7.24,Aerial,1,3,450,2,2,CZ,0,450,0.78898468,1.791363443,12.51445418,4.788978667,75851931.13,50.6,1,AquaticAnimals,Sea,Migratory,Lower_risk
Fregetta tropica,Fregetta tropica,PROCELLARIIFORMES,Oceanitidae,LC,0,0,0,0,20.7,8.2,3,4.4,39.3,164.4,92.2,71.1,56.5,76.2,-63.34,-43.7,Aerial,1,3,0,2,2,CZ,0,0,0.796327178,1.767018746,15.21664515,5.074713177,29279.55,52,1,AquaticAnimals,Sea,Migratory,Lower_risk
Fregetta maoriana,Fregetta maoriana,PROCELLARIIFORMES,Oceanitidae,CR,0,0,1,0,17.3,8.1,3.2,4.9,35.2,141,81.3,59.7,57.7,87,-36.77,-29.42,Aerial,1,3,750,2,1,Z,0,750,0.730972144,1.315541635,10.33914434,3.577277184,1598996.36,34.5,1,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
Nesofregetta fuliginosa,Nesofregetta fuliginosa,PROCELLARIIFORMES,Oceanitidae,EN,0,1,1,0,21.9,10.3,4.7,5.3,44.6,197.6,110,86.8,55.9,99.8,-31.42,8.04,Aerial,1,2,0,2,2,AO,0,0,0.803642455,1.909769176,12.64720636,5.06354404,29441980.12,70,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates pelagicus,Hydrobates pelagicus,PROCELLARIIFORMES,Hydrobatidae,LC,0,1,1,1,13.7,6.1,2.3,3.5,22.2,119,69.8,48.5,59,54.6,-42.34,69.74,Aerial,1,3,0,2,2,P,0,0,0.88,4.5,33.8,13.77408344,50310627.51,25.2,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates jabejabe,Hydrobates jabejabe,PROCELLARIIFORMES,Hydrobatidae,LC,0,0,1,0,15.6,10.2,2.7,4.6,22.6,150.4,89.8,59.8,60,69,-27.39,49.51,Aerial,1,1,0,1,2,F,0,0,0.88,4.499123768,27.02222222,10.66166152,39186045.96,46.1,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates castro,Hydrobates castro,PROCELLARIIFORMES,Hydrobatidae,LC,0,1,1,0,15.6,10.2,2.7,4.6,22.6,150.4,89.8,59.8,60,69,-27.39,49.51,Aerial,1,2,3200,2,2,C,0,3200,0.840379824,5,36,14.81217019,86645652.29,46.1,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates monteiroi,Hydrobates monteiroi,PROCELLARIIFORMES,Hydrobatidae,VU,0,0,1,0,15.5,9.7,3,4.6,22.2,153,67,86,43.8,91,34.72,44.01,Aerial,1,3,0,2,2,F,0,0,0.83703421,4.223150109,21.42623928,8.596122488,736937.18,46.1,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates melania,Hydrobates melania,PROCELLARIIFORMES,Hydrobatidae,LC,0,0,1,1,17.5,9.6,3.3,4.9,29.8,172.2,106.2,66,61.6,81,24.53,33.49,Aerial,1,2,0,2,2,LN,0,0,0.850814328,4.386047204,21.78759747,9.163840846,38.23,61.5,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates homochroa,Hydrobates homochroa,PROCELLARIIFORMES,Hydrobatidae,EN,0,0,1,1,16.7,8.8,2.5,4.3,21.4,132.8,77.3,55,58.4,71.5,27.22,40.59,Aerial,1,2,0,2,2,N,0,0,0.836971082,3.891017712,31,10.28806352,347898.56,36.9,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates microsoma,Hydrobates microsoma,PROCELLARIIFORMES,Hydrobatidae,LC,0,0,1,0,12.2,7.6,1.8,3.5,21.7,119,72,48,60,56.4,-3.12,38.16,Aerial,1,2,0,2,1,LN,0,0,0.807734778,3.532576823,16.77122085,6.99187756,2556397.26,20.5,1,AquaticAnimals,Sea,PartiallyMigratory,Lower_risk
Hydrobates tethys,Hydrobates tethys,PROCELLARIIFORMES,Hydrobatidae,LC,0,0,1,0,13.3,8.3,2,3.5,21.8,129.8,78.5,53.8,59.4,58.8,-27.88,29.03,Aerial,1,2,0,2,2,LN,0,0,0.811913273,3.601094123,16.27831885,6.989867958,11745531.83,22.6,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates socorroensis,Hydrobates socorroensis,PROCELLARIIFORMES,Hydrobatidae,EN,0,0,1,0,17.8,10.6,3.1,4.5,23.1,150.4,88.2,62,58.8,75.4,0.72,34.22,Aerial,1,1,0,2,2,LN,0,0,0.88,4.499123768,27.02222222,10.66166152,4224560.11,36.7,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates cheimomnestes,Hydrobates cheimomnestes,PROCELLARIIFORMES,Hydrobatidae,VU,0,0,1,0,17.8,10.6,3.1,4.5,23.1,150.4,88.2,62,58.8,75.4,-5.94,30.56,Aerial,1,1,0,2,2,LN,0,0,0.88,4.499123768,27.02222222,10.66166152,6006364.4,36.7,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates leucorhous,Hydrobates leucorhous,PROCELLARIIFORMES,Hydrobatidae,VU,0,0,1,0,17.8,10.6,3.1,4.5,23.1,150.4,88.2,62,58.8,75.4,-42.6,71.23,Aerial,1,2,0,2,2,C,0,0,0.836775015,5,36,14.81217019,110025337.7,36.7,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates monorhis,Hydrobates monorhis,PROCELLARIIFORMES,Hydrobatidae,NT,0,0,1,0,16.5,9.5,3,4.5,23.2,152.6,89.2,63.8,58.4,71.6,-9.43,46.05,Aerial,1,3,0,1,2,P,0,0,0.834786,4.025745402,18.98024299,8.136234102,19566410.48,39.8,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates tristrami,Hydrobates tristrami,PROCELLARIIFORMES,Hydrobatidae,LC,0,0,1,1,20.3,11.6,3.5,5.3,26.6,177.4,102.5,76.8,57.2,92.2,14.86,47.72,Aerial,1,2,0,1,2,OP,0,0,0.867721431,4.997261774,25.96857042,11.63513434,13675265.59,89.1,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates markhami,Hydrobates markhami,PROCELLARIIFORMES,Hydrobatidae,NT,0,0,0,0,20.1,11.1,3.1,4.7,23.2,170.8,104.2,65.8,61.3,91.4,-26.13,13.2,Aerial,1,1,1100,2,2,L,0,1100,0.845553589,4.260985159,19.60698569,8.694190532,12040992.53,53.1,1,AquaticAnimals,Sea,Migratory,Higher_risk
Hydrobates furcatus,Hydrobates furcatus,PROCELLARIIFORMES,Hydrobatidae,LC,0,0,1,0,17.1,10.1,3,5.1,25.3,155.6,93.8,60.8,60.8,90,30.18,63.55,Aerial,1,3,0,3,2,NP,0,0,0.849780151,4.360889946,23.16576816,9.215680026,19594359.95,59.7,1,AquaticAnimals,Sea,Migratory,Lower_risk
Hydrobates hornbyi,Hydrobates hornbyi,PROCELLARIIFORMES,Hydrobatidae,NT,0,0,0,0,20.8,10.6,2.8,3.8,25,163.2,95.2,68,58.3,81.5,-32.48,-0.63,Aerial,1,1,2225,2,1,L,0,2225,0.83344573,4.120290035,19.76551231,8.319997585,1484280.66,40.6,1,AquaticAnimals,Sea,Migratory,Higher_risk
Diomedea epomophora,Diomedea epomophora,PROCELLARIIFORMES,Diomedeidae,VU,0,1,1,0,186.5,135.2,38.1,49.4,120,662.5,372.5,290,56.4,276.2,-63.45,-21.3,Aquatic,1,3,0,2,2,SZ,0,0,0.97,9.482197599,58,27.87156628,56488370.78,8905.6,1,AquaticAnimals,Sea,PartiallyMigratory,Higher_risk
