original_name,standardized_name,Agriculture,Energy,Transportation,Biological_use_hunting,Invasive_species,Climate_change,Number_of_threats,Primary_lifestyle,Beak_length_culmen,Beak_depth,Tarsus_length,Wing_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Adult_survival_annual,Generation_length,Foraging_strategy,Nest_placement,Territoriality,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Nothura maculosa,Nothura maculosa,1,0,0,1,0,0,2,Terrestrial,19.7,5.2,34.7,124.1,24.7,42.5,-41.72,-2.77,0,L,2,0,2300,2300,6,4,0.720634361,3.222422907,GroundForaging,ExposedGround,strong,3.384698697,38.3,STRUTHIONIFORMES,Tinamidae,5645223.73,257.5,LC,9,Omnivore,Grassland,Sedentary,Lower_risk
Eudromia elegans,Eudromia elegans,0,0,0,0,0,0,0,Terrestrial,29.1,7.4,44,215.3,34.3,85.8,-50.16,-19.72,0,L,3,0,2850,2850,2,4,0.717871405,4.964601192,GroundForaging,ExposedGround,weak,2.54388257,7.1,STRUTHIONIFORMES,Tinamidae,1493624.4,702.9,LC,16,Omnivore,Shrub,Sedentary,Lower_risk
Tinamotis pentlandii,Tinamotis pentlandii,0,0,0,0,0,0,0,Terrestrial,31.2,7.5,47.6,253.4,33,69.2,-26.42,-10.13,0,L,2,3500,1500,5000,4,1,0.713441908,4.652603452,GroundForaging,ExposedGround,strong,2.411169108,16.4,STRUTHIONIFORMES,Tinamidae,632710.16,650,LC,7,Omnivore,Shrub,Sedentary,Lower_risk
Tinamotis ingoufi,Tinamotis ingoufi,0,0,0,0,0,0,0,Terrestrial,28.6,6.8,43.6,215.2,36,57.3,-52.76,-40.37,0,L,3,0,800,800,4,2,0.46311061,2.938060626,GroundForaging,ExposedGround,strong,2.028114982,2.4,STRUTHIONIFORMES,Tinamidae,403733.45,950,LC,12,Omnivore,Grassland,Sedentary,Lower_risk
Casuarius casuarius,Casuarius casuarius,1,0,1,1,1,1,7,Terrestrial,104.8,20.6,287.2,300.8,0.1,402.5,-18.93,-0.74,0,A,1,0,500,500,3,3,0.91078162,12.14449609,GroundForaging,ExposedGround,strong,1.900494537,6.1,STRUTHIONIFORMES,Casuariidae,379633.34,44000,LC,8,Fruit,Forest,Sedentary,Lower_risk
Casuarius bennetti,Casuarius bennetti,1,0,1,1,1,0,4,Terrestrial,73.8,16.1,260,216.8,0.1,318.8,-10.66,-0.34,1,A,1,0,3300,3300,2,5,0.905471131,11.55406202,GroundForaging,ExposedGround,weak,1.882226777,11.5,STRUTHIONIFORMES,Casuariidae,396486.38,35000,LC,5,Fruit,Forest,Sedentary,Lower_risk
Casuarius unappendiculatus,Casuarius unappendiculatus,1,0,0,1,0,0,2,Terrestrial,88.1,23.2,303.4,264.5,0.1,273.5,-5.64,-0.34,1,A,1,0,700,700,1,4,0.934550407,12.72197507,GroundForaging,ExposedGround,weak,1.951777127,10.5,STRUTHIONIFORMES,Casuariidae,185350.58,46073.9,LC,5,Fruit,Forest,Sedentary,Lower_risk
Dromaius novaehollandiae,Dromaius novaehollandiae,0,0,0,0,0,0,0,Terrestrial,81.5,17.7,382.8,124.5,0.1,430,-39.14,-11.12,0,A,2,0,1600,1600,5,5,0.815734108,7.631266788,GroundForaging,ExposedGround,weak,2.169716837,4.3,STRUTHIONIFORMES,Casuariidae,4231350.45,34093.3,LC,24,Omnivore,Savanna,Sedentary,Lower_risk
Apteryx haastii,Apteryx haastii,0,0,0,0,1,0,1,Terrestrial,139.1,5.6,74.9,0.1,0.1,0.1,-42.84,-40.5,1,Z,3,700,400,1100,3,3,0.901346428,9.253745993,GroundForaging,Cavity,strong,1.843545989,1.6,STRUTHIONIFORMES,Apterygidae,8561.32,2022.7,VU,2,Invertebrate,Grassland,Sedentary,Higher_risk
Apteryx owenii,Apteryx owenii,0,0,0,0,1,0,1,Terrestrial,85.3,3.6,59.6,0.1,0.1,0.1,-41.29,-35.89,1,Z,3,0,1000,1000,3,3,0.879185215,8.82956697,GroundForaging,Cavity,strong,3.240075576,1,STRUTHIONIFORMES,Apterygidae,35.17,1238.3,NT,2,Invertebrate,Forest,Sedentary,Lower_risk
Apteryx mantelli,Apteryx mantelli,1,0,0,0,1,0,2,Terrestrial,140.6,4.5,64,0.1,0.1,0.1,-40.89,-34.77,1,Z,3,0,1000,1000,3,1,0.887798129,8.50203165,GroundForaging,Cavity,strong,2.479573373,9.4,STRUTHIONIFORMES,Apterygidae,37689.64,2320.5,VU,2,Invertebrate,Forest,Sedentary,Higher_risk
