Species1,extinction_risk,Primary.Lifestyle,RLM,Nest_Type,Nest_SBS,Flightlessness,Order,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,Family,Diet,Habitat_cat,Migration,IslandEndemic,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Min.Latitude,Max.Latitude,LAT,Elevational.Range,HB,DB,LogNightLights,LogHumanPopulationDensity,Range_size,Body_mass,Clutch_size
Acanthidops bairdi,Lower_risk,Insessorial,L,CP,S,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Thraupidae,Invertebrate,Forest,PartiallyMigratory,No,16.2,10.8,3.9,5.3,20.9,66,11.3,54.7,17,52.1,1,8.8,10.38,1,1600,3,4,1.042246635,2.960105096,4743.28,16,4
Acanthis flammea,Lower_risk,Generalist,NP,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Fringillidae,Seed,Plains,PartiallyMigratory,No,11.4,7.8,4.5,6.5,15.6,75.8,25,50.7,33.1,58.7,1,44.1,83.11,4,2100,11,3,0.924337803,1.85629799,19794267.79,13,7
Acanthis hornemanni,Lower_risk,Insessorial,P,CP,T,No,Passeriformes,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,Fringillidae,Seed,Terrestrial,Migratory,No,14.34819259,9.187781111,5.481094444,6.824200444,17.96419718,84.52024111,25.45525054,59.70295663,30.12250067,63.83265711,1.95958,37.22889853,62.06417713,2.672604444,2076.859769,4.005888889,2.338428889,0.676947243,0.336472237,6920267.5,15.2,3.864285714
Acanthisitta chloris,Lower_risk,Insessorial,Z,DM,G-P-T,No,Passeriformes,BarkGleaning,Cooperative,Cavity,weak,No,Acanthisittidae,Invertebrate,Forest,Sedentary,Yes,12.1,6.3,2.4,2.2,18,46,6.2,38.1,13.9,23.5,1,-47.28,-35.38,3,1550,5,3,0.924337803,2.140066163,152503.84,6.9,5
Acanthiza apicalis,Lower_risk,Insessorial,A,DM-PN,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Acanthizidae,Invertebrate,Woodland,Sedentary,No,11,5.9,2.2,2.6,19,51,7.2,43.2,14.2,44.1,2,-36,-16.78,2,1000,4,2,0.622332977,0.641853886,4124270.8,7.6,3
Acanthiza chrysorrhoa,Lower_risk,Terrestrial,A,DM,N-S-T,No,Passeriformes,GroundForaging,Cooperative,Cavity,strong,No,Acanthizidae,Invertebrate,Woodland,Sedentary,No,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,15.6,37.9,2,-43.64,-18.56,2,800,2,2,0.779920671,1.648658626,4590956.34,9.3,5
Acanthiza cinerea,Lower_risk,Insessorial,A,PN,T,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Acanthizidae,Invertebrate,Forest,Sedentary,No,10.6,6,2.6,2.8,19.2,52,10.1,42.2,19.2,32.4,1,-10.11,-0.56,1,800,1,1,0.6817886,2.45396321,124509.89,7.6,2.695271469
Acanthiza ewingii,Lower_risk,Insessorial,A,PN,S,No,Passeriformes,ArborealGleaning,NonCooperative,Cavity,weak,No,Acanthizidae,Invertebrate,Forest,Sedentary,No,10.7,5.6,1.9,2.5,21.5,52.2,8.3,42.5,16.3,46.4,2,-43.64,-39.44,3,1000,2,2,0.8532356,2.104134154,68050.51,6.9,4
Acanthiza inornata,Lower_risk,Insessorial,A,DM,S-T,No,Passeriformes,ArborealGleaning,Cooperative,Cavity,strong,No,Acanthizidae,Invertebrate,Woodland,Sedentary,No,11.3,5.9,2.3,2.7,17.3,47.8,6,41,12.8,36.4,2,-35.19,-29.16,3,500,2,1,1.055250147,2.694627181,137406.16,7,4
Acanthiza iredalei,Lower_risk,Generalist,A,SP,S,No,Passeriformes,ForagingGeneralist,Cooperative,Cavity,strong,No,Acanthizidae,Invertebrate,Shrub,Sedentary,No,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,15.3,39.3,2,-38.86,-24.06,3,500,1,1,0.668740305,1.029619417,987131.55,6,4
