Species1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Habitat.Density,Primary.Lifestyle,Min.Latitude,Max.Latitude,RR,ISL,RLM,LAT,Elevational.Range,HB,DB,Nest_Type,Nest_SBS,Flightlessness,Family,Foraging,MatingSystem,NestPlacement,Territoriality,IslandDwelling,LogNightLights,LogHumanPopulationDensity,IUCN_status,Range_size,Body_mass,Order1,Clutch_size,Diet,Habitat_cat,Migration,extinction_risk
Acanthiza lineata,9.9,5,2.1,2.8,17.1,51.5,9.4,40,19.1,37.9,2,Insessorial,-39.24,-23.09,0,0,A,3,1500,2,1,DM,"S,T",No,Acanthizidae,ArborealGleaning,Cooperative,Cavity,strong,No,1.02177818086464,2.79116510781272,LC,1043817.35,6.9,Passeriformes,4,Invertebrate,Forest,Sedentary,Lower_risk
Acanthiza nana,10,5.2,2.1,2.7,17.2,49.1,8.8,40.8,17.8,36.8,2,Insessorial,-39.14,-15.68,0,0,A,2,1000,3,2,SP,"S,T",No,Acanthizidae,ArborealGleaning,Cooperative,Cavity,strong,No,0.894427190999916,2.24070968927596,LC,2021416.13,6.2,Passeriformes,4,Invertebrate,Shrub,Sedentary,Lower_risk
Acanthiza pusilla,11.2,5.3,2.1,2.6,18.7,51.8,7.6,44.1,14.6,43.4,2,Insessorial,-43.64,-20,0,0,A,3,1200,5,1,DM,G,No,Acanthizidae,ArborealGleaning,NonCooperative,Cavity,strong,No,1.01705852500181,2.75366071235426,LC,1131818.69,7.6,Passeriformes,4,Invertebrate,Shrub,Sedentary,Lower_risk
Acanthiza reguloides,11,6,2.2,2.6,16.7,52,7.3,44.7,14,38.9,2,Insessorial,-39.14,-15.8,0,0,A,2,1500,3,1,DM,"S,T",No,Acanthizidae,ForagingGeneralist,Cooperative,Cavity,strong,No,0.91794061753342,2.32238772029023,LC,1843422.3,7.7,Passeriformes,5,Invertebrate,Forest,Sedentary,Lower_risk
Acanthiza robustirostris,9.9,5.1,2.3,2.7,19.1,50.8,7.6,42.8,15.2,40.2,2,Insessorial,-30.4,-19.66,0,0,A,3,500,2,1,SP,"S,T",No,Acanthizidae,ArborealGleaning,NonCooperative,Cavity,weak,No,0.531829589694499,0,LC,2061848.42,6.1,Passeriformes,3,Invertebrate,Woodland,PartiallyMigratory,Lower_risk
Acanthiza uropygialis,10.2,5.3,2,2.3,18,51.8,7.9,44.6,15,38.3,2,Insessorial,-38.05,-19.82,0,0,A,3,500,3,1,DM,C,No,Acanthizidae,ArborealGleaning,Cooperative,Cavity,strong,No,0.660219580407963,0.955511445027436,LC,4788831.67,6.4,Passeriformes,4,Invertebrate,Woodland,Sedentary,Lower_risk
Acanthorhynchus superciliosus,23.6,15.5,2.3,2.8,19.9,61.3,9.5,50.1,15.9,54.3,2,Insessorial,-35.14,-28.9,0,0,A,3,1000,4,2,CP,"S,T",No,Meliphagidae,ArborealGleaning,NonCooperative,ExposedElevated,weak,No,0.989846400767953,2.45100509811232,LC,182218.54,9.7,Passeriformes,2,Nectar,Shrub,Sedentary,Lower_risk
Acanthorhynchus tenuirostris,26.8,18.9,2.3,2.7,18,65.6,14.2,54.6,20.6,57.1,2,Insessorial,-43.64,-15,0,0,A,2,1200,5,2,CP,"S,T",No,Meliphagidae,ForagingGeneralist,NonCooperative,ExposedElevated,weak,No,1.09734199677185,3.10458667846607,LC,763502.74,10.4,Passeriformes,4,Omnivore,Forest,Sedentary,Lower_risk
Acanthornis magna,15.2,8.4,2.3,2.9,21.9,56,9.2,46.1,16.6,48,1,Generalist,-43.64,-39.58,0,1,A,3,1000,2,1,SP,"S,T",No,Acanthizidae,GroundForaging,NonCooperative,Cavity,strong,No,0.880111736793393,2.2512917986065,LC,45032.53,10.2,Passeriformes,4,Invertebrate,Forest,Sedentary,Lower_risk
Accipiter brevipes,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,40.2,153.5,1,Generalist,31.19,55.86,0,0,FP,2,1000,6,2,PL,T,No,Accipitridae,AerialSallying,NonCooperative,ExposedElevated,weak,No,1.25237323276083,3.95699637107088,LC,2936751.8,186.5,Accipitriformes,5,Vertebrates,Forest,Migratory,Lower_risk
Accipiter cirrocephalus,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,37.8,155.4,1,Generalist,-43.64,0.04,0,0,A,2,2500,4,2,PL,T,No,Accipitridae,AerialScreaning,NonCooperative,ExposedElevated,strong,No,0.800195241015144,1.75785791755237,LC,5488639.45,165.7,Accipitriformes,6,Vertebrates,Forest,PartiallyMigratory,Lower_risk
Accipiter cooperii,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,2,Aerial,23.28,53.31,0,0,LN,2,3000,3,1,PL,T,No,Accipitridae,AerialScreaning,NonCooperative,ExposedElevated,weak,No,1.47473940650311,3.52046080248897,LC,8393137.06,429.7,Accipitriformes,6,Vertebrates,Forest,Migratory,Lower_risk
