original_name,standardized_name,Residential_development,Agriculture,Energy,Transportation,Biological_use_hunting,Human_intrusions,Natural_modifications,Invasive_species,Pollution,Geological_events,Climate_change,Number_of_threats,Habitat_density,Primary_lifestyle,Beak_length_culmen,Beak_length_nares,Beak_width,Beak_depth,Tarsus_length,Wing_length,Kipps_distance,Secondary1_length,Hand_wing_index,Tail_length,Minimum_latitude,Maximum_latitude,Island_restricted_breeding,Realm,Latitudinal_range,Minimum_elevation,Elevational_range,Maximum_elevation,Habitat_breadth,Diet_breadth,Flightlessness,Adult_survival_annual,Age_at_first_breeding,Maximum_longevity,Generation_length,Foraging_strategy,Mating_system,Nest_placement,Territoriality,Island_dwelling,Night_lights,Human_population_density,Order,Family,Range_size,Body_mass,IUCN_status,Clutch_size,Diet,Habitat,Migration,Extinction_risk
Crypturellus undulatus,Crypturellus undulatus,0,0,0,0,0,0,0,0,0,0,0,0,1,Terrestrial,34,12.4,6,5.8,48,172.5,35,137.8,20.3,56.6,-27.8,8.4,0,L,2,0,900,900,5,3,No,0.735025566,2.019948816,16.21830113,4.771455533,GroundForaging,NonCooperative,ExposedGround,weak,No,0.939774487115278,2.19722457733622,STRUTHIONIFORMES,Tinamidae,8533511.59,564.4,LC,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus strigulosus,Crypturellus strigulosus,0,0,0,0,0,0,0,0,0,0,0,0,1,Terrestrial,32.3,11.6,5.3,5.3,46.4,160.9,30.1,130.7,18.7,47.9,-15.65,-0.54,0,L,1,0,500,500,1,3,No,0.781206236,1.93707895,14.97060929,5.051806531,GroundForaging,NonCooperative,ExposedGround,strong,No,0.90808651852317,2.16332302566054,STRUTHIONIFORMES,Tinamidae,2589981.45,430.6,LC,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus erythropus,Crypturellus erythropus,0,1,0,0,1,0,0,0,0,0,0,2,2,Terrestrial,29,10.7,4.9,4.4,47,158.2,48.1,110.6,30.1,48.4,-1.46,11.65,0,L,1,0,1700,1700,4,3,No,0.815757949,2.142693768,15.92709911,5.828200564,GroundForaging,NonCooperative,ExposedGround,strong,No,1.13848501952444,3.52929738428947,STRUTHIONIFORMES,Tinamidae,1242529.51,485,LC,3,Omnivore,Shrub,Sedentary,Lower_risk
Crypturellus noctivagus,Crypturellus noctivagus,0,1,0,0,1,0,0,0,0,0,0,2,1,Terrestrial,32.9,12.5,6.1,5.3,53.9,182.2,43.9,138.3,24.1,61.8,-30.22,-7.13,0,L,2,0,300,300,4,3,No,0.758551243,1.932858872,17.3741855,4.925242284,GroundForaging,NonCooperative,ExposedGround,strong,No,1.29701980868685,4.15261347034608,STRUTHIONIFORMES,Tinamidae,1469564.58,562,NT,4,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus cinnamomeus,Crypturellus cinnamomeus,0,0,0,0,1,0,0,0,0,0,0,1,1,Terrestrial,26.6,10.7,5.3,4.9,45.2,156.7,35.6,122.3,22.5,49.2,9.55,24.88,0,L,1,0,1800,1800,3,3,No,0.809868545,2.084764271,16.30921496,5.681953406,GroundForaging,NonCooperative,ExposedGround,strong,No,1.37649174794099,4.63763737612559,STRUTHIONIFORMES,Tinamidae,661411.76,422,LC,7,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus transfasciatus,Crypturellus transfasciatus,0,1,0,0,1,0,0,0,0,0,0,2,2,Terrestrial,26.7,10.8,5.1,4.8,46.4,150.2,36.5,115.2,24,45.6,-5.74,-0.18,0,L,1,0,800,800,2,3,No,0.760595837,1.783384219,13.50365432,4.578910599,GroundForaging,NonCooperative,ExposedGround,strong,No,1.25868898135142,4.33204826486764,STRUTHIONIFORMES,Tinamidae,41881.22,283,NT,7,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus boucardi,Crypturellus boucardi,0,1,0,0,1,0,0,0,0,0,0,2,1,Terrestrial,28.9,10.9,5.2,4.8,50,165,41.4,123.6,25.1,49.2,9.86,18.87,0,L,1,0,1500,1500,2,3,No,0.765831995,1.86778589,14.98941975,4.795858713,GroundForaging,NonCooperative,ExposedGround,weak,No,1.02873734472208,3.35689712276558,STRUTHIONIFORMES,Tinamidae,334426.96,435.6,VU,10,Omnivore,Forest,Sedentary,Higher_risk
Crypturellus variegatus,Crypturellus variegatus,0,0,0,0,0,0,0,0,0,0,0,0,1,Terrestrial,33.6,13.7,5.3,5,41.1,155.4,50.1,105.5,32.2,44.6,-20.8,8.4,0,L,1,100,1200,1300,2,3,No,0.824320611,2.447681257,17.69804868,6.478159022,GroundForaging,NonCooperative,ExposedGround,strong,No,0.757928931136556,1.7227665977411,STRUTHIONIFORMES,Tinamidae,5436849.92,378,LC,1,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus parvirostris,Crypturellus parvirostris,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,19.3,9.5,4.3,4.2,25.7,111.1,27,82.6,24.7,37.3,-28.61,-0.38,0,L,2,0,900,900,6,3,No,0.682413307,1.515542826,13.67202724,3.871354809,GroundForaging,NonCooperative,ExposedGround,strong,No,1.11398714741198,3.22286784613774,STRUTHIONIFORMES,Tinamidae,6659535.62,199,LC,5,Omnivore,Forest,Sedentary,Lower_risk
Crypturellus tataupa,Crypturellus tataupa,0,0,0,0,0,0,0,0,0,0,0,0,2,Terrestrial,24.9,13.1,4.8,5.3,32.5,123.3,25.8,97.6,21.1,49.4,-31.61,-2.35,0,L,2,0,1400,1400,2,3,No,0.729748229,1.630869437,13.26209369,4.051045551,GroundForaging,NonCooperative,ExposedGround,strong,No,1.1906908447938,3.54961738678043,STRUTHIONIFORMES,Tinamidae,4855861.2,218.8,LC,5,Omnivore,Forest,Sedentary,Lower_risk
