"scientificName_final","decimalLatitude","decimalLongitude","Order","Annualroadkillrate_corrected","adult_mass_g","max_longevity_d","age_first_reproduction_d","litter_size_n","litters_per_year_n","dispersal_km","density_n_km2","home_range_km2","dphy_invertebrate","dphy_plant","det_vend","det_vect","det_scav","det_diet_breadth_n","altitude_breadth_m","EQ","habitat_Forest","habitat_Savanna","habitat_Shrubland","habitat_Grassland","habitat_Wetlands","habitat_Desert","habitat_Artificial_Terrestrial","n_habitats","human_footprint","log_roadkill","roadkill_category"
"Alces alces",64.2823,-135,"Cetartiodactyla",2.90003e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,0.000279851898085326,-10.4482043832037,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.000782779,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-7.15266014957787,"Low"
"Alces alces",45.367584,-68.972168,"Cetartiodactyla",4.43311e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,16.5536117553711,-10.0238240956194,"Low"
"Alces alces",45.367584,-68.972168,"Cetartiodactyla",4.46374e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,16.5536117553711,-10.016938485315,"Low"
"Alces alces",64.2823,-135,"Cetartiodactyla",2.17859e-06,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,0.000279851898085326,-13.0368326794123,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.002283105,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-6.08221892037645,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.000272183,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-8.20903592377513,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.001826484,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-6.30536247169066,"Low"
"Alces alces",64.5741,11.528,"Artiodactyla",0.000263699,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,9.65005683898926,-8.24070225680032,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.001310304,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-6.63749610762238,"Low"
"Alces alces",54.687157,25.279652,"Artiodactyla",1.08008e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-11.4358903525034,"Low"
"Alces alces",54.39717217,18.48323454,"Artiodactyla",1.87943e-06,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-13.1845420185836,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.001369863,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-6.59304454414244,"Low"
"Alces alces",44.0682,-114.742,"Cetartiodactyla",3.17453e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,8.53064155578613,-10.3577658750794,"Low"
"Alces alces",46.8131,-71.2075,"Cetartiodactyla",0.002739726,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-5.89989736358249,"Low"
"Alces alces",60.662031,24.85388,"Artiodactyla",0.000119154,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,50,-9.03509378385419,"Low"
"Alces alces",53.7267,-127.6476,"Cetartiodactyla",6.23547e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,0.0347222276031971,-9.68267150776503,"Low"
"Alces alces",54.5,18.54,"Artiodactyla",2.53768e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,47.4715194702148,-10.5816751871576,"Low"
"Alces alces",55.1694,23.8813,"Artiodactyla",1.61713e-05,359750,9855,1046.515,1.28,1.117,26.984,0.648,71.75,0,100,0,0,0,1,2500,0.670935876135013,"1","0","0","0","1","0","1",3,19.7183208465576,-11.0322724918121,"Low"
